eye_Color,Black,DarkBrown,LightBrown,Grey,Blue,Green,,,
weight_Changes,Gainandloseeasily,Difficultyingaining,Gaineasilyandlosewithdifficulty,Stable,,,,,
Gender,Male,Female,,,,,,,
eye_Symmetry,Proportionate,Disproportionate,,,,,,,
hair_Nature,Normal,Seasonal/Variable,Dry,Oily,,,,,
lips_Color,Dark,Reddish,PaleYellow,Pink,,,,,
nails_color,Dark,Reddish,PaleYellow,Pink,,,,,
palate_Color,Dark,Reddish,PaleYellow,Pink,,,,,
palms_Color,Dark,Reddish,PaleYellow,Pink,,,,,
scalpHair_Color,Black,DarkBrown,LightBrown,Dusky,Blonde,Copper,,,
skin_Color,Fair,Dark,Reddish,PaleYellow,Pink,Wheatish,Golden,FreshColour,Dusky
skin_Nature,Dry,Oily,Normal,Seasonal/Variable,Thick,Thin,Hard,,
soles_Color,Dark,Reddish,PaleYellow,Pink,,,,,
teeth_Shape,Regular,Irregular,,,,,,,
teeth_Shape_Even,Even,Uneven,,,,,,,
appetite_Frequency,Regular,Irregular,Frequent,Infrequent,Medium,Variable,,,
bladder_Frequency,Regular,Irregular,Frequent,Infrequent,Medium,Variable,,,
bowel_Freq,Regular,Irregular,Variable,,,,,,
like_Astringent,like_Astringent,donotlike_Astringent,,,,,,,
like_Bitter,likeBitter,donotlike_Bitter,,,,,,,
like_Pungent,like_Pungent,donotlike_Pungent,,,,,,,
like_Salty,likeSalty,DoNotLikeSalty,,,,,,,
like_Sour,LikeSour,DonotLikeSour,,,,,,,
like_Sweet,LikeSweet,DonotlikeSweet,,,,,,,
like_Warm,like_Warm,donotlike_Warm,,,,,,,
sleep_Quality,Deep,Sound,Shallow,,,,,,
suit_Oily,suit_Oily,Oily,,,,,,,
suit_Pungent,donotsuit_Pungent,suit_Pungent,,,,,,,
walking_style,Firm/Steady,Unsteady,Sharp/Accurate,,,,,,
working_Quality,Wellthoughtof,Wavering/Easilydeviated,Sharp/Accurate/Spontaneous,,,,,,
working_style,Sharp/Accurate,Firm/Steady,Unsteady,,,,,,
hair_feel,Non_Coarse,Coarse,Smooth,,,,,,
hair_Nature1,Non_Graying,Graying,,,,,,,
hair_Nature2,Non_Falling,Falling,,,,,,,
hair_Nature3,Non_Breaking,Breaking,,,,,,,
lips_Nature2,Non_Firm,Firm,,,,,,,
lips_Nature5,Non_Cracked,Cracked,,,,,,,
lips_Nature6,Non_Wrinkled,Wrinkled,,,,,,,
nails_Nature2,Non_Firm,Firm,,,,,,,
nails_Nature5,Non_Brittle,Brittle,,,,,,,
palms_Nature2,Non_Firm,Firm,,,,,,,
palms_Nature5,Non_Cracked,Cracked,,,,,,,
palms_Nature6,Non_Wrinkled,Wrinkled,,,,,,,
soles_Nature2,Non_Firm,Firm,,,,,,,
soles_Nature5,Non_Cracked,Cracked,,,,,,,
soles_Nature6,Non_Wrinkled,Wrinkled,,,,,,,
speech_Argumentative,Non_Argumentative,Argumentative,,,,,,,
speech_AvoidConfrontations,Non_AvoidConfrontations,AvoidConfrontations,,,,,,,
speech_Convincing,Non_Convincing,Convincing,,,,,,,
speech_Deviated,Non_Deviatedfrommaintopic,Deviatedfrommaintopic,,,,,,,
speech_Irrelevant,Non_Irrelevantinbetween,Irrelevantinbetween,,,,,,,
teeth_Appearance1,Non_Brittle/Cracked,Brittle/Cracked,,,,,,,
teeth_Appearance2,Non_Loose,Loose,,,,,,,
voice_clear,Non_Clear,Clear,,,,,,,
skin_cracked,Non_Cracked,Cracked,,,,,,,
skin_freckle,Non_Freckles,Freckles,,,,,,,
skin_mark,Non_Marks,Marks,,,,,,,
skin_mole,Non_Moles,Moles,,,,,,,
skin_pimple,Non_Pimples,Pimples,,,,,,,
skin_wrinkled,Non_Wrinkled,Wrinkled,,,,,,,
